country,code,year,gdp.current
"Gambia, The",GMB,2013,903497025.7
Guinea-Bissau,GNB,2013,960778479.5
Equatorial Guinea,GNQ,2013,15580563836
Greece,GRC,2013,2.4223E+11
Grenada,GRD,2013,835581688.9
Greenland,GRL,2013,
Guatemala,GTM,2013,53796709475
Guam,GUM,2013,
Guyana,GUY,2013,2990128821
High income,HIC,2013,5.1091E+13
"Hong Kong SAR, China",HKG,2013,2.74013E+11
Honduras,HND,2013,18550026035
Heavily indebted poor countries (HIPC),HPC,2013,5.99028E+11
Croatia,HRV,2013,57868674298
Haiti,HTI,2013,8459326660
Hungary,HUN,2013,1.33424E+11
Indonesia,IDN,2013,8.68346E+11
Isle of Man,IMN,2013,
India,IND,2013,1.87514E+12
Not classified,INX,2013,
Ireland,IRL,2013,2.32077E+11
"Iran, Islamic Rep.",IRN,2013,3.68904E+11
Iraq,IRQ,2013,2.29327E+11
Iceland,ISL,2013,15330057867
Israel,ISR,2013,2.90551E+11
Italy,ITA,2013,2.14948E+12
Jamaica,JAM,2013,14362262585
Jordan,JOR,2013,33678500148
Japan,JPN,2013,4.91956E+12
Kazakhstan,KAZ,2013,2.31876E+11
Kenya,KEN,2013,55243056201
Kyrgyz Republic,KGZ,2013,7226303261
Cambodia,KHM,2013,15238689686
Kiribati,KIR,2013,168951535
St. Kitts and Nevis,KNA,2013,765870666.7
"Korea, Rep.",KOR,2013,1.30455E+12
Kosovo,,2013,7071959241
Kuwait,KWT,2013,1.75831E+11
Latin America & Caribbean (developing only),LAC,2013,5.65737E+12
Lao PDR,LAO,2013,11242526454
Lebanon,LBN,2013,44352418120
Liberia,LBR,2013,1950960138
Libya,LBY,2013,74199528672
St. Lucia,LCA,2013,1335764111
Latin America & Caribbean (all income levels),LCN,2013,6.15828E+12
Least developed countries: UN classification,LDC,2013,8.20035E+11
Low income,LIC,2013,6.2961E+11
Liechtenstein,LIE,2013,
Sri Lanka,LKA,2013,67182015336
Lower middle income,LMC,2013,5.2326E+12
Low & middle income,LMY,2013,2.45768E+13
Lesotho,LSO,2013,2334989648
Lithuania,LTU,2013,45931968474
Luxembourg,LUX,2013,60130847624
Latvia,LVA,2013,30956691628
"Macao SAR, China",MAC,2013,51753094764
St. Martin (French part),MAF,2013,
Morocco,MAR,2013,1.03836E+11
Monaco,MCO,2013,
Moldova,MDA,2013,7969618966
Madagascar,MDG,2013,10613494031
Maldives,MDV,2013,2299843167
Middle East & North Africa (all income levels),MEA,2013,3.44235E+12
Mexico,MEX,2013,1.26091E+12
Marshall Islands,MHL,2013,190914600
Middle income,MIC,2013,2.394E+13
"Macedonia, FYR",MKD,2013,10195404131
Mali,MLI,2013,10942727310
Malta,MLT,2013,9642326075
Myanmar,MMR,2013,
Middle East & North Africa (developing only),MNA,2013,1.49567E+12
Montenegro,MNE,2013,4416083090
Mongolia,MNG,2013,11516409581
Northern Mariana Islands,MNP,2013,
Mozambique,MOZ,2013,15630302814
Mauritania,MRT,2013,4158182904
Mauritius,MUS,2013,11929250814
Malawi,MWI,2013,3705386790
Malaysia,MYS,2013,3.13159E+11
North America,NAC,2013,1.86005E+13
Namibia,NAM,2013,13113069777
New Caledonia,NCL,2013,
Niger,NER,2013,7407418428
Nigeria,NGA,2013,5.21803E+11
Nicaragua,NIC,2013,11255608410
Netherlands,NLD,2013,8.53539E+11
High income: nonOECD,NOC,2013,5.36874E+12
Norway,NOR,2013,5.1258E+11
Nepal,NPL,2013,19294348174
New Zealand,NZL,2013,1.85788E+11
High income: OECD,OEC,2013,4.57605E+13
OECD members,OED,2013,4.79769E+13
Oman,OMN,2013,79655917417
Other small states,OSS,2013,98229547802
Pakistan,PAK,2013,2.32287E+11
Panama,PAN,2013,42648100000
Peru,PER,2013,2.0235E+11
Philippines,PHL,2013,2.72067E+11
Palau,PLW,2013,247043400
Papua New Guinea,PNG,2013,15413232346
Poland,POL,2013,5.25866E+11
Puerto Rico,PRI,2013,1.03135E+11
"Korea, Dem. Rep.",PRK,2013,
Portugal,PRT,2013,2.27324E+11
Paraguay,PRY,2013,29009411738
Pacific island small states,PSS,2013,8009303951
French Polynesia,PYF,2013,
Qatar,QAT,2013,2.03235E+11
Romania,ROU,2013,1.89638E+11
Russian Federation,RUS,2013,2.09678E+12
Rwanda,RWA,2013,7521261791
South Asia,SAS,2013,2.36829E+12
Saudi Arabia,SAU,2013,7.4845E+11
Sudan,SDN,2013,66565889417
Senegal,SEN,2013,14791699009
Singapore,SGP,2013,2.97941E+11
Solomon Islands,SLB,2013,1096396927
Sierra Leone,SLE,2013,4136280752
El Salvador,SLV,2013,24259100000
San Marino,SMR,2013,
Somalia,SOM,2013,
Serbia,SRB,2013,45519650911
Sub-Saharan Africa (developing only),SSA,2013,1.64336E+12
South Sudan,SSD,2013,11804446137
Sub-Saharan Africa (all income levels),SSF,2013,1.6591E+12
Small states,SST,2013,1.7327E+11
Sao Tome and Principe,STP,2013,310684635.7
Suriname,SUR,2013,5298787879
Slovak Republic,SVK,2013,97707323420
Slovenia,SVN,2013,47987303638
Sweden,SWE,2013,5.7968E+11
Swaziland,SWZ,2013,3791304348
Sint Maarten (Dutch part),SXM,2013,
Seychelles,SYC,2013,1443345214
Syrian Arab Republic,SYR,2013,
Turks and Caicos Islands,TCA,2013,
Chad,TCD,2013,13513552425
Togo,TGO,2013,4338575824
Thailand,THA,2013,3.87252E+11
Tajikistan,TJK,2013,8508103456
Turkmenistan,TKM,2013,41850877193
Timor-Leste,TLS,2013,
Tonga,TON,2013,466259084.1
Trinidad and Tobago,TTO,2013,24640839008
Tunisia,TUN,2013,46993598818
Turkey,TUR,2013,8.22135E+11
Tuvalu,TUV,2013,38322359.53
Tanzania,TZA,2013,43646747145
Uganda,UGA,2013,24703250651
Ukraine,UKR,2013,1.77431E+11
Upper middle income,UMC,2013,1.87028E+13
Uruguay,URY,2013,55707944622
United States,USA,2013,1.67681E+13
Uzbekistan,UZB,2013,56795656325
St. Vincent and the Grenadines,VCT,2013,709358185.2
"Venezuela, RB",VEN,2013,4.38284E+11
Virgin Islands (U.S.),VIR,2013,
Vietnam,VNM,2013,1.7139E+11
Vanuatu,VUT,2013,828237181.1
West Bank and Gaza,PSE,2013,
World,WLD,2013,7.56219E+13
Samoa,WSM,2013,801916057.6
"Yemen, Rep.",YEM,2013,35954502304
South Africa,ZAF,2013,3.66058E+11
"Congo, Dem. Rep.",COD,2013,32690896873
Zambia,ZMB,2013,26820870559
Zimbabwe,ZWE,2013,13490000000
