country,code,year,GDP
Europe & Central Asia (all income levels),ECS,2012,2.20E+13
Ecuador,ECU,2012,87623411000
"Egypt, Arab Rep.",EGY,2012,2.63E+11
Euro area,EMU,2012,1.27E+13
Eritrea,ERI,2012,3091967480
Spain,ESP,2012,1.36E+12
Estonia,EST,2012,22660754204
Ethiopia,ETH,2012,43310721414
European Union,EUU,2012,1.73E+13
Fragile and conflict affected situations,FCS,2012,6.81E+11
Finland,FIN,2012,2.56E+11
Fiji,FJI,2012,3849824013
France,FRA,2012,2.69E+12
Faeroe Islands,FRO,2012,
"Micronesia, Fed. Sts.",FSM,2012,326161000
Gabon,GAB,2012,17843815459
United Kingdom,GBR,2012,2.61E+12
Georgia,GEO,2012,15846474596
Ghana,GHA,2012,41740926505
Guinea,GIN,2012,5651088170
"Gambia, The",GMB,2012,912427787.4
Guinea-Bissau,GNB,2012,958857944.2
Equatorial Guinea,GNQ,2012,16496531233
Greece,GRC,2012,2.50E+11
Grenada,GRD,2012,799882134
Greenland,GRL,2012,
Guatemala,GTM,2012,50388454861
Guam,GUM,2012,
Guyana,GUY,2012,2851154076
High income,HIC,2012,5.04E+13
"Hong Kong SAR, China",HKG,2012,2.63E+11
Honduras,HND,2012,18564264545
Heavily indebted poor countries (HIPC),HPC,2012,5.53E+11
Croatia,HRV,2012,56479515972
Haiti,HTI,2012,7890216508
Hungary,HUN,2012,1.27E+11
Indonesia,IDN,2012,8.77E+11
Isle of Man,IMN,2012,
India,IND,2012,1.84E+12
Not classified,INX,2012,
Ireland,IRL,2012,2.22E+11
"Iran, Islamic Rep.",IRN,2012,5.03E+11
Iraq,IRQ,2012,2.16E+11
Iceland,ISL,2012,14182614909
Israel,ISR,2012,2.57E+11
Italy,ITA,2012,2.09E+12
Jamaica,JAM,2012,14794802081
Jordan,JOR,2012,31015239545
Japan,JPN,2012,5.95E+12
Kazakhstan,KAZ,2012,2.04E+11
Kenya,KEN,2012,50334699324
Kyrgyz Republic,KGZ,2012,6605139933
Cambodia,KHM,2012,14054443213
Kiribati,KIR,2012,174984468.8
St. Kitts and Nevis,KNA,2012,731919888.9
"Korea, Rep.",KOR,2012,1.22E+12
Kosovo,,2012,6499938584
Kuwait,KWT,2012,1.74E+11
Latin America & Caribbean (developing only),LAC,2012,5.47E+12
Lao PDR,LAO,2012,9359185244
Lebanon,LBN,2012,43205095854
Liberia,LBR,2012,1733828405
Libya,LBY,2012,81873662519
St. Lucia,LCA,2012,1302666704
Latin America & Caribbean (all income levels),LCN,2012,5.95E+12
Least developed countries: UN classification,LDC,2012,7.58E+11
Low income,LIC,2012,5.78E+11
Liechtenstein,LIE,2012,
Sri Lanka,LKA,2012,59393056426
Lower middle income,LMC,2012,5.02E+12
Low & middle income,LMY,2012,2.31E+13
Lesotho,LSO,2012,2328215736
Lithuania,LTU,2012,42343559196
Luxembourg,LUX,2012,56292381076
Latvia,LVA,2012,28372577697
"Macao SAR, China",MAC,2012,42981497744
St. Martin (French part),MAF,2012,
Morocco,MAR,2012,95903690326
Monaco,MCO,2012,
Moldova,MDA,2012,7284686576
Madagascar,MDG,2012,9919780222
Maldives,MDV,2012,2113179304
Middle East & North Africa (all income levels),MEA,2012,3.44E+12
Mexico,MEX,2012,1.19E+12
Marshall Islands,MHL,2012,184358700
Middle income,MIC,2012,2.25E+13
"Macedonia, FYR",MKD,2012,9576482628
Mali,MLI,2012,10340794110
Malta,MLT,2012,8863076923
Myanmar,MMR,2012,
Middle East & North Africa (developing only),MNA,2012,1.60E+12
Montenegro,MNE,2012,4045813953
Mongolia,MNG,2012,10321968595
Northern Mariana Islands,MNP,2012,
Mozambique,MOZ,2012,14952946846
Mauritania,MRT,2012,3958702640
Mauritius,MUS,2012,11442096506
Malawi,MWI,2012,4240492849
Malaysia,MYS,2012,3.05E+11
North America,NAC,2012,1.80E+13
Namibia,NAM,2012,13037393423
New Caledonia,NCL,2012,
Niger,NER,2012,6611341029
Nigeria,NGA,2012,4.63E+11
Nicaragua,NIC,2012,10644947615
Netherlands,NLD,2012,8.23E+11
High income: nonOECD,NOC,2012,5.16E+12
Norway,NOR,2012,5.00E+11
Nepal,NPL,2012,19206800719
New Zealand,NZL,2012,1.71E+11
High income: OECD,OEC,2012,4.53E+13
OECD members,OED,2012,4.74E+13
Oman,OMN,2012,77497269805
Other small states,OSS,2012,95816076748
Pakistan,PAK,2012,2.24E+11
Panama,PAN,2012,37956200000
Peru,PER,2012,1.93E+11
Philippines,PHL,2012,2.50E+11
Palau,PLW,2012,232478600
Papua New Guinea,PNG,2012,15391272798
Poland,POL,2012,4.96E+11
Puerto Rico,PRI,2012,1.01E+11
"Korea, Dem. Rep.",PRK,2012,
Portugal,PRT,2012,2.18E+11
Paraguay,PRY,2012,24611040343
Pacific island small states,PSS,2012,7852675901
French Polynesia,PYF,2012,
Qatar,QAT,2012,1.90E+11
Romania,ROU,2012,1.69E+11
Russian Federation,RUS,2012,2.02E+12
Rwanda,RWA,2012,7219656634
South Asia,SAS,2012,2.30E+12
Saudi Arabia,SAU,2012,7.34E+11
Sudan,SDN,2012,63152209705
Senegal,SEN,2012,14045680427
Singapore,SGP,2012,2.87E+11
Solomon Islands,SLB,2012,989911515.9
Sierra Leone,SLE,2012,3529350504
El Salvador,SLV,2012,23813600000
San Marino,SMR,2012,
Somalia,SOM,2012,
Serbia,SRB,2012,40791444603
Sub-Saharan Africa (developing only),SSA,2012,1.56E+12
South Sudan,SSD,2012,10368977850
Sub-Saharan Africa (all income levels),SSF,2012,1.57E+12
Small states,SST,2012,1.69E+11
Sao Tome and Principe,STP,2012,263328450.3
Suriname,SUR,2012,5013030303
Slovak Republic,SVK,2012,92746685083
Slovenia,SVN,2012,46262305281
Sweden,SWE,2012,5.44E+11
Swaziland,SWZ,2012,4049623016
Sint Maarten (Dutch part),SXM,2012,
Seychelles,SYC,2012,1032201692
Syrian Arab Republic,SYR,2012,
Turks and Caicos Islands,TCA,2012,
Chad,TCD,2012,12887072988
Togo,TGO,2012,3915754216
Thailand,THA,2012,3.66E+11
Tajikistan,TJK,2012,7633049792
Turkmenistan,TKM,2012,35164210526
Timor-Leste,TLS,2012,1270000000
Tonga,TON,2012,471575497.3
Trinidad and Tobago,TTO,2012,23436342520
Tunisia,TUN,2012,45238619630
Turkey,TUR,2012,7.89E+11
Tuvalu,TUV,2012,39875708.12
Tanzania,TZA,2012,38733981070
Uganda,UGA,2012,23724746169
Ukraine,UKR,2012,1.77E+11
Upper middle income,UMC,2012,1.75E+13
Uruguay,URY,2012,50004354647
United States,USA,2012,1.62E+13
Uzbekistan,UZB,2012,51183443225
St. Vincent and the Grenadines,VCT,2012,693304481.5
"Venezuela, RB",VEN,2012,3.81E+11
Virgin Islands (U.S.),VIR,2012,
Vietnam,VNM,2012,1.56E+11
Vanuatu,VUT,2012,781702874.1
West Bank and Gaza,PSE,2012,11262141134
World,WLD,2012,7.35E+13
Samoa,WSM,2012,801803524.5
"Yemen, Rep.",YEM,2012,31992801303
South Africa,ZAF,2012,3.97E+11
"Congo, Dem. Rep.",COD,2012,29306222816
Zambia,ZMB,2012,24939543374
Zimbabwe,ZWE,2012,12472416700
