country,code,year,GDP.growth
Guinea-Bissau,GNB,2013,0.32869042
Equatorial Guinea,GNQ,2013,-4.840126662
Greece,GRC,2013,-3.315508026
Grenada,GRD,2013,2.423208302
Greenland,GRL,2013,
Guatemala,GTM,2013,3.690304608
Guam,GUM,2013,
Guyana,GUY,2013,5.22162589
High income,HIC,2013,1.414311921
"Hong Kong SAR, China",HKG,2013,2.932259369
Honduras,HND,2013,2.563736624
Heavily indebted poor countries (HIPC),HPC,2013,4.562269818
Croatia,HRV,2013,-0.939174027
Haiti,HTI,2013,4.296522524
Hungary,HUN,2013,1.525166806
Indonesia,IDN,2013,5.781224178
Isle of Man,IMN,2013,
India,IND,2013,6.89921982
Not classified,INX,2013,
Ireland,IRL,2013,0.173649123
"Iran, Islamic Rep.",IRN,2013,-5.799999941
Iraq,IRQ,2013,4.211745367
Iceland,ISL,2013,3.45936668
Israel,ISR,2013,3.24829164
Italy,ITA,2013,-1.925000622
Jamaica,JAM,2013,1.274858022
Jordan,JOR,2013,2.828818632
Japan,JPN,2013,1.613366906
Kazakhstan,KAZ,2013,6
Kenya,KEN,2013,5.743139176
Kyrgyz Republic,KGZ,2013,10.53411385
Cambodia,KHM,2013,7.40614153
Kiribati,KIR,2013,2.97279334
St. Kitts and Nevis,KNA,2013,4.211210973
"Korea, Rep.",KOR,2013,2.971110156
Kosovo,,2013,2.999999079
Kuwait,KWT,2013,
Latin America & Caribbean (developing only),LAC,2013,2.472746374
Lao PDR,LAO,2013,8.518422612
Lebanon,LBN,2013,0.900212124
Liberia,LBR,2013,11.30674508
Libya,LBY,2013,-10.87895009
St. Lucia,LCA,2013,-0.431955475
Latin America & Caribbean (all income levels),LCN,2013,2.490192932
Least developed countries: UN classification,LDC,2013,4.643256598
Low income,LIC,2013,5.645291698
Liechtenstein,LIE,2013,
Sri Lanka,LKA,2013,7.250906975
Lower middle income,LMC,2013,5.819220061
Low & middle income,LMY,2013,4.960544646
Lesotho,LSO,2013,5.489400292
Lithuania,LTU,2013,3.25111172
Luxembourg,LUX,2013,1.990206037
Latvia,LVA,2013,4.109890516
"Macao SAR, China",MAC,2013,11.88825341
St. Martin (French part),MAF,2013,
Morocco,MAR,2013,4.381457983
Monaco,MCO,2013,
Moldova,MDA,2013,8.898802536
Madagascar,MDG,2013,2.414297692
Maldives,MDV,2013,3.714479682
Middle East & North Africa (all income levels),MEA,2013,2.245417065
Mexico,MEX,2013,1.070416628
Marshall Islands,MHL,2013,2.988574581
Middle income,MIC,2013,4.943901756
"Macedonia, FYR",MKD,2013,3.100000016
Mali,MLI,2013,2.149319398
Malta,MLT,2013,2.9
Myanmar,MMR,2013,
Middle East & North Africa (developing only),MNA,2013,-0.499599904
Montenegro,MNE,2013,3.337530877
Mongolia,MNG,2013,11.74311113
Northern Mariana Islands,MNP,2013,
Mozambique,MOZ,2013,7.444166659
Mauritania,MRT,2013,6.715005029
Mauritius,MUS,2013,3.200000008
Malawi,MWI,2013,4.969479816
Malaysia,MYS,2013,4.73391982
North America,NAC,2013,2.204677914
Namibia,NAM,2013,5.124750827
New Caledonia,NCL,2013,
Niger,NER,2013,4.104952891
Nigeria,NGA,2013,5.394416311
Nicaragua,NIC,2013,4.606298297
Netherlands,NLD,2013,-0.72551995
High income: nonOECD,NOC,2013,2.681385875
Norway,NOR,2013,0.646705221
Nepal,NPL,2013,3.781821435
New Zealand,NZL,2013,2.497242991
High income: OECD,OEC,2013,1.313612188
OECD members,OED,2013,1.352036255
Oman,OMN,2013,
Other small states,OSS,2013,3.320225103
Pakistan,PAK,2013,4.408712308
Panama,PAN,2013,8.352293815
Peru,PER,2013,5.785178441
Philippines,PHL,2013,7.181121861
Palau,PLW,2013,-0.330808897
Papua New Guinea,PNG,2013,5.537412004
Poland,POL,2013,1.668124149
Puerto Rico,PRI,2013,-0.577342697
"Korea, Dem. Rep.",PRK,2013,
Portugal,PRT,2013,-1.355024898
Paraguay,PRY,2013,14.22460271
Pacific island small states,PSS,2013,2.265739351
French Polynesia,PYF,2013,
Qatar,QAT,2013,6.321518527
Romania,ROU,2013,3.499921297
Russian Federation,RUS,2013,1.318686379
Rwanda,RWA,2013,4.684512428
South Asia,SAS,2013,6.59169792
Saudi Arabia,SAU,2013,3.950024921
Sudan,SDN,2013,-6.004000189
Senegal,SEN,2013,2.803807191
Singapore,SGP,2013,3.851064073
Solomon Islands,SLB,2013,2.950668511
Sierra Leone,SLE,2013,5.518898748
El Salvador,SLV,2013,1.675888994
San Marino,SMR,2013,
Somalia,SOM,2013,
Serbia,SRB,2013,2.6
Sub-Saharan Africa (developing only),SSA,2013,4.124753941
South Sudan,SSD,2013,13.13063491
Sub-Saharan Africa (all income levels),SSF,2013,4.029836842
Small states,SST,2013,2.676420507
Sao Tome and Principe,STP,2013,3.999999996
Suriname,SUR,2013,2.880032451
Slovak Republic,SVK,2013,1.424695166
Slovenia,SVN,2013,-0.998266654
Sweden,SWE,2013,1.498209766
Swaziland,SWZ,2013,2.784760332
Sint Maarten (Dutch part),SXM,2013,
Seychelles,SYC,2013,5.275872708
Syrian Arab Republic,SYR,2013,
Turks and Caicos Islands,TCA,2013,
Chad,TCD,2013,3.965513079
Togo,TGO,2013,5.117622456
Thailand,THA,2013,1.766353603
Tajikistan,TJK,2013,7.4
Turkmenistan,TKM,2013,10.19904501
Timor-Leste,TLS,2013,
Tonga,TON,2013,0.5
Trinidad and Tobago,TTO,2013,1.600062968
Tunisia,TUN,2013,2.521341111
Turkey,TUR,2013,4.12418451
Tuvalu,TUV,2013,1.298187614
Tanzania,TZA,2013,7.281728924
Uganda,UGA,2013,3.270736613
Ukraine,UKR,2013,1.876313135
Upper middle income,UMC,2013,4.684800117
Uruguay,URY,2013,4.396596996
United States,USA,2013,2.221387174
Uzbekistan,UZB,2013,7.999988352
St. Vincent and the Grenadines,VCT,2013,1.664001744
"Venezuela, RB",VEN,2013,1.343451286
Virgin Islands (U.S.),VIR,2013,
Vietnam,VNM,2013,5.421344193
Vanuatu,VUT,2013,1.96914608
West Bank and Gaza,PSE,2013,-4.428893139
World,WLD,2013,2.294521043
Samoa,WSM,2013,-1.139067401
"Yemen, Rep.",YEM,2013,4.155705526
South Africa,ZAF,2013,2.212354433
"Congo, Dem. Rep.",COD,2013,8.481956636
Zambia,ZMB,2013,6.713450204
Zimbabwe,ZWE,2013,4.484095146
