Country Name,Country Code,Year,Exports
Europe & Central Asia (all income levels),ECS,2012,41.30516222
Ecuador,ECU,2012,30.03174916
"Egypt, Arab Rep.",EGY,2012,17.42887973
Euro area,EMU,2012,42.38990328
Eritrea,ERI,2012,
Spain,ESP,2012,30.3160285
Estonia,EST,2012,88.26238666
Ethiopia,ETH,2012,13.76730255
European Union,EUU,2012,41.38187896
Fragile and conflict affected situations,FCS,2012,
Finland,FIN,2012,39.62495416
Fiji,FJI,2012,62.66471237
France,FRA,2012,28.08720366
Faeroe Islands,FRO,2012,
"Micronesia, Fed. Sts.",FSM,2012,
Gabon,GAB,2012,58.58069974
United Kingdom,GBR,2012,30.24887277
Georgia,GEO,2012,38.15052258
Ghana,GHA,2012,48.11870625
Guinea,GIN,2012,29.71700213
"Gambia, The",GMB,2012,35.97859185
Guinea-Bissau,GNB,2012,
Equatorial Guinea,GNQ,2012,92.81157997
Greece,GRC,2012,28.23731746
Grenada,GRD,2012,25.81517333
Greenland,GRL,2012,
Guatemala,GTM,2012,24.86883207
Guam,GUM,2012,
Guyana,GUY,2012,
High income,HIC,2012,29.91889341
"Hong Kong SAR, China",HKG,2012,225.5610526
Honduras,HND,2012,50.39185845
Heavily indebted poor countries (HIPC),HPC,2012,29.02570777
Croatia,HRV,2012,41.57436996
Haiti,HTI,2012,16.90722152
Hungary,HUN,2012,87.41584935
Indonesia,IDN,2012,24.29392736
Isle of Man,IMN,2012,
India,IND,2012,24.42506112
Not classified,INX,2012,
Ireland,IRL,2012,105.6445697
"Iran, Islamic Rep.",IRN,2012,
Iraq,IRQ,2012,44.91796218
Iceland,ISL,2012,56.71580794
Israel,ISR,2012,36.24448204
Italy,ITA,2012,28.25982
Jamaica,JAM,2012,30.42948794
Jordan,JOR,2012,46.24668328
Japan,JPN,2012,14.68397661
Kazakhstan,KAZ,2012,45.08032538
Kenya,KEN,2012,19.84653937
Kyrgyz Republic,KGZ,2012,44.40420097
Cambodia,KHM,2012,62.79113919
Kiribati,KIR,2012,11.21242604
St. Kitts and Nevis,KNA,2012,35.14678317
"Korea, Rep.",KOR,2012,56.34025057
Kosovo,,2012,18.22493623
Kuwait,KWT,2012,74.73322756
Latin America & Caribbean (developing only),LAC,2012,23.73007686
Lao PDR,LAO,2012,38.84289711
Lebanon,LBN,2012,56.48890897
Liberia,LBR,2012,32.36431516
Libya,LBY,2012,
St. Lucia,LCA,2012,46.37208159
Latin America & Caribbean (all income levels),LCN,2012,25.58389117
Least developed countries: UN classification,LDC,2012,26.72584485
Low income,LIC,2012,22.54741619
Liechtenstein,LIE,2012,
Sri Lanka,LKA,2012,22.83373583
Lower middle income,LMC,2012,27.79095177
Low & middle income,LMY,2012,30.22399504
Lesotho,LSO,2012,44.97599054
Lithuania,LTU,2012,
Luxembourg,LUX,2012,193.3728202
Latvia,LVA,2012,
"Macao SAR, China",MAC,2012,108.9772967
St. Martin (French part),MAF,2012,
Morocco,MAR,2012,35.91191267
Monaco,MCO,2012,
Moldova,MDA,2012,43.48291631
Madagascar,MDG,2012,29.00995606
Maldives,MDV,2012,111.3189658
Middle East & North Africa (all income levels),MEA,2012,54.72316575
Mexico,MEX,2012,32.64486427
Marshall Islands,MHL,2012,
Middle income,MIC,2012,30.42404367
"Macedonia, FYR",MKD,2012,53.60996575
Mali,MLI,2012,31.26071547
Malta,MLT,2012,
Myanmar,MMR,2012,
Middle East & North Africa (developing only),MNA,2012,
Montenegro,MNE,2012,44.12489992
Mongolia,MNG,2012,50.55802626
Northern Mariana Islands,MNP,2012,
Mozambique,MOZ,2012,29.87886698
Mauritania,MRT,2012,66.70268477
Mauritius,MUS,2012,54.58664767
Malawi,MWI,2012,37.56101315
Malaysia,MYS,2012,85.25314507
North America,NAC,2012,14.80931222
Namibia,NAM,2012,43.3401534
New Caledonia,NCL,2012,
Niger,NER,2012,24.60977184
Nigeria,NGA,2012,31.43874755
Nicaragua,NIC,2012,43.03930765
Netherlands,NLD,2012,82.03604498
High income: nonOECD,NOC,2012,79.32962148
Norway,NOR,2012,40.89663394
Nepal,NPL,2012,10.07389298
New Zealand,NZL,2012,29.64861292
High income: OECD,OEC,2012,27.0095664
OECD members,OED,2012,27.29736168
Oman,OMN,2012,62.64577467
Other small states,OSS,2012,52.74184283
Pakistan,PAK,2012,12.39666276
Panama,PAN,2012,79.78703137
Peru,PER,2012,26.60199499
Philippines,PHL,2012,30.78058512
Palau,PLW,2012,65.69593933
Papua New Guinea,PNG,2012,
Poland,POL,2012,45.05066545
Puerto Rico,PRI,2012,73.11887652
"Korea, Dem. Rep.",PRK,2012,
Portugal,PRT,2012,37.34575988
Paraguay,PRY,2012,49.92148468
Pacific island small states,PSS,2012,54.78850947
French Polynesia,PYF,2012,
Qatar,QAT,2012,
Romania,ROU,2012,39.99576851
Russian Federation,RUS,2012,29.59430008
Rwanda,RWA,2012,12.87485908
South Asia,SAS,2012,22.69597533
Saudi Arabia,SAU,2012,54.42013942
Sudan,SDN,2012,9.945364775
Senegal,SEN,2012,24.29023458
Singapore,SGP,2012,195.0767078
Solomon Islands,SLB,2012,64.16732592
Sierra Leone,SLE,2012,35.18336597
El Salvador,SLV,2012,25.58957906
San Marino,SMR,2012,
Somalia,SOM,2012,
Serbia,SRB,2012,36.92831816
Sub-Saharan Africa (developing only),SSA,2012,31.43651817
South Sudan,SSD,2012,10.12096247
Sub-Saharan Africa (all income levels),SSF,2012,31.77448756
Small states,SST,2012,49.20504261
Sao Tome and Principe,STP,2012,12.93460473
Suriname,SUR,2012,
Slovak Republic,SVK,2012,91.8013439
Slovenia,SVN,2012,73.24744102
Sweden,SWE,2012,46.3231383
Swaziland,SWZ,2012,53.02361867
Sint Maarten (Dutch part),SXM,2012,
Seychelles,SYC,2012,90.30953325
Syrian Arab Republic,SYR,2012,
Turks and Caicos Islands,TCA,2012,
Chad,TCD,2012,36.91882771
Togo,TGO,2012,
Thailand,THA,2012,74.97978304
Tajikistan,TJK,2012,21.54002446
Turkmenistan,TKM,2012,73.2580989
Timor-Leste,TLS,2012,12.12598425
Tonga,TON,2012,17.81387969
Trinidad and Tobago,TTO,2012,55.64834223
Tunisia,TUN,2012,49.18367578
Turkey,TUR,2012,26.29611125
Tuvalu,TUV,2012,
Tanzania,TZA,2012,21.32559202
Uganda,UGA,2012,19.90914942
Ukraine,UKR,2012,50.98218727
Upper middle income,UMC,2012,31.26482289
Uruguay,URY,2012,26.6605713
United States,USA,2012,13.57528212
Uzbekistan,UZB,2012,27.67560005
St. Vincent and the Grenadines,VCT,2012,27.15647195
"Venezuela, RB",VEN,2012,26.17101521
Virgin Islands (U.S.),VIR,2012,
Vietnam,VNM,2012,80.0286188
Vanuatu,VUT,2012,49.08789615
West Bank and Gaza,PSE,2012,16.58864833
World,WLD,2012,29.97335184
Samoa,WSM,2012,27.65156451
"Yemen, Rep.",YEM,2012,
South Africa,ZAF,2012,29.72571244
"Congo, Dem. Rep.",COD,2012,30.6670708
Zambia,ZMB,2012,39.41250988
Zimbabwe,ZWE,2012,32.73240622
